id	prompt	generated_nl	gold_standard_nl	lang	model	prompt_type	query	tokenized_generated_nl	tokenized_gold_standard_nl	sentence_bleu	sentence_nist	rougeL	levenshtein
1	"---- Start Example ---- 
 Having a SPARQL query: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { ?uri wdt:P31 wd:Q12280 ; wdt:P177 wd:Q1471 . } 
 Where:
 wdt:P31 has human-readable name ""instance of.""
 wd:Q12280 has human-readable name ""bridge.""
 wdt:P177 has human-readable name ""crosses.""
 wd:Q1471 has human-readable name ""Seine.""
 Transform the SPARQL query to a natural language question. Output just the transformed question. Which bridges cross the Seine? 
 ----End Example ---- 
Having a SPARQL query: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { ?uri wdt:P31 wd:Q131436 . } 
 Where:
 wdt:P31 has human-readable name ""instance of.""
 wd:Q131436 has human-readable name ""board game.""
 Transform the SPARQL query to a natural language question. Output just the transformed question"	What board games are there?	List all boardgames by GMT.	en	gpt-3.5-turbo	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { ?uri wdt:P31 wd:Q131436 . }	['What', 'board', 'games', 'are', 'there', '?']	['List', 'all', 'boardgames', 'by', 'GMT', '.']	0.0	0.0	0.0	17.0
2	"---- Start Example ---- 
 Having a SPARQL query: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { ?uri wdt:P31 wd:Q11424 ; wdt:P161 wd:Q38111 . } 
 Where:
 wdt:P31 has human-readable name ""instance of.""
 wd:Q11424 has human-readable name ""film.""
 wdt:P161 has human-readable name ""cast member.""
 wd:Q38111 has human-readable name ""Leonardo DiCaprio.""
 Transform the SPARQL query to a natural language question. Output just the transformed question. How many films did Leonardo DiCaprio star in? 
 ----End Example ---- 
Having a SPARQL query: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { wd:Q40984 wdt:P178 ?uri . } 
 Where:
 wd:Q40984 has human-readable name ""Skype.""
 wdt:P178 has human-readable name ""developer.""
 Transform the SPARQL query to a natural language question. Output just the transformed question"	Who developed Skype?	Who developed Skype?	en	gpt-3.5-turbo	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { wd:Q40984 wdt:P178 ?uri . }	['Who', 'developed', 'Skype', '?']	['Who', 'developed', 'Skype', '?']	1.0	0.0	1.0	0.0
3	"---- Start Example ---- 
 Having a SPARQL query: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { ?uri wdt:P31 wd:Q8502 ; wdt:P17 wd:Q38 ; wdt:P2044 ?elevation . } ORDER BY DESC(?elevation) LIMIT 1 
 Where:
 wdt:P31 has human-readable name ""instance of.""
 wd:Q8502 has human-readable name ""mountain.""
 wdt:P17 has human-readable name ""country.""
 wd:Q38 has human-readable name ""Italy.""
 wdt:P2044 has human-readable name ""elevation above sea level.""
 Transform the SPARQL query to a natural language question. Output just the transformed question. What is the highest mountain in Italy? 
 ----End Example ---- 
Having a SPARQL query: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { ?uri wdt:P19 wd:Q160544 . } 
 Where:
 wdt:P19 has human-readable name ""place of birth.""
 wd:Q160544 has human-readable name ""Heraklion.""
 Transform the SPARQL query to a natural language question. Output just the transformed question"	Where was the birthplace of Heraklion?	Which people were born in Heraklion?	en	gpt-3.5-turbo	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { ?uri wdt:P19 wd:Q160544 . }	['Where', 'was', 'the', 'birthplace', 'of', 'Heraklion', '?']	['Which', 'people', 'were', 'born', 'in', 'Heraklion', '?']	0.208	0.8021	0.1667	20.0
4	"---- Start Example ---- 
 Having a SPARQL query: SELECT DISTINCT ?uri WHERE { <http://www.wikidata.org/entity/Q33935> <http://www.wikidata.org/prop/direct/P6> ?uri . } 
 Where:
 http://www.wikidata.org/entity/Q33935 has human-readable name ""Tel Aviv.""
 http://www.wikidata.org/prop/direct/P6 has human-readable name ""head of government.""
 Transform the SPARQL query to a natural language question. Output just the transformed question. Who is the mayor of Tel Aviv? 
 ----End Example ---- 
Having a SPARQL query: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q177397 wdt:P131 ?obj . ?obj wdt:P131 ?uri . } 
 Where:
 wd:Q177397 has human-readable name ""area pepper.""
 wdt:P131 has human-readable name ""located in the administrative territorial entity.""
 wdt:P131 has human-readable name ""located in the administrative territorial entity.""
 Transform the SPARQL query to a natural language question. Output just the transformed question"	Where is the administrative territory located in which the area pepper is located in?	In which U.S. state is Area 51 located?	en	gpt-3.5-turbo	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q177397 wdt:P131 ?obj . ?obj wdt:P131 ?uri . }	['Where', 'is', 'the', 'administrative', 'territory', 'located', 'in', 'which', 'the', 'area', 'pepper', 'is', 'located', 'in', '?']	['In', 'which', 'U.S.', 'state', 'is', 'Area', '51', 'located', '?']	0.2663	0.8453	0.2	61.0
5	"---- Start Example ---- 
 Having a SPARQL query: SELECT DISTINCT ?uri WHERE { ?uri <http://www.wikidata.org/prop/direct/P31> <http://www.wikidata.org/entity/Q11424> . ?uri <http://www.wikidata.org/prop/direct/P161> <http://www.wikidata.org/entity/Q48410> . ?uri <http://www.wikidata.org/prop/direct/P161> <http://www.wikidata.org/entity/Q40523> . } 
 Where:
 http://www.wikidata.org/prop/direct/P31 has human-readable name ""instance of.""
 http://www.wikidata.org/entity/Q11424 has human-readable name ""film.""
 http://www.wikidata.org/prop/direct/P161 has human-readable name ""cast member.""
 http://www.wikidata.org/entity/Q48410 has human-readable name ""Richard Gere.""
 http://www.wikidata.org/prop/direct/P161 has human-readable name ""cast member.""
 http://www.wikidata.org/entity/Q40523 has human-readable name ""Julia Roberts.""
 Transform the SPARQL query to a natural language question. Output just the transformed question. In which films did Julia Roberts as well as Richard Gere play? 
 ----End Example ---- 
Having a SPARQL query: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q60 wdt:P6 ?uri . } 
 Where:
 wd:Q60 has human-readable name ""New York City.""
 wdt:P6 has human-readable name ""head of government.""
 Transform the SPARQL query to a natural language question. Output just the transformed question"	Who is the head of government of New York City?	Who is the mayor of New York City?	en	gpt-3.5-turbo	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q60 wdt:P6 ?uri . }	['Who', 'is', 'the', 'head', 'of', 'government', 'of', 'New', 'York', 'City', '?']	['Who', 'is', 'the', 'mayor', 'of', 'New', 'York', 'City', '?']	0.4692	2.3054	0.8235	15.0
7	"---- Start Example ---- 
 Having a SPARQL query: PREFIX psv: <http://www.wikidata.org/prop/statement/value/> PREFIX wikibase: <http://wikiba.se/ontology#> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/>  PREFIX p: <http://www.wikidata.org/prop/> SELECT DISTINCT ?uri WHERE { ?uri wdt:P31 wd:Q8502 . ?uri p:P2044 ?stmnode. ?stmnode psv:P2044 ?valuenode . ?valuenode wikibase:quantityAmount ?elevation . ?valuenode wikibase:quantityUnit ?unit . wd:Q130736 wdt:P2044 ?elevationNangaParbat . FILTER(?unit = wd:Q11573) FILTER (?elevation > ?elevationNangaParbat) } 
 Where:
 wdt:P31 has human-readable name ""instance of.""
 wd:Q8502 has human-readable name ""mountain.""
 p:P2044 has human-readable name ""elevation above sea level.""
 psv:P2044 has human-readable name ""psv:P2044.""
 wikibase:quantityAmount has human-readable name ""wikibase:quantityAmount.""
 wikibase:quantityUnit has human-readable name ""wikibase:quantityUnit.""
 wd:Q130736 has human-readable name ""Nanga Parbat.""
 wdt:P2044 has human-readable name ""elevation above sea level.""
 wd:Q11573 has human-readable name ""metre.""
 Transform the SPARQL query to a natural language question. Output just the transformed question. Which mountains are higher than the Nanga Parbat? 
 ----End Example ---- 
Having a SPARQL query: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q91 wdt:P20 ?uri }  
 Where:
 wd:Q91 has human-readable name ""Abraham Lincoln.""
 wdt:P20 has human-readable name ""place of death.""
 Transform the SPARQL query to a natural language question. Output just the transformed question"	Where did Abraham Lincoln die?	Where did Abraham Lincoln die?	en	gpt-3.5-turbo	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q91 wdt:P20 ?uri } 	['Where', 'did', 'Abraham', 'Lincoln', 'die', '?']	['Where', 'did', 'Abraham', 'Lincoln', 'die', '?']	1.0	2.585	1.0	0.0
8	"---- Start Example ---- 
 Having a SPARQL query: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?res WHERE { ?res wdt:P106 wd:Q806349 . ?res wdt:P1303 wd:Q8338 . } 
 Where:
 wdt:P106 has human-readable name ""occupation.""
 wd:Q806349 has human-readable name ""bandleader.""
 wdt:P1303 has human-readable name ""instrument.""
 wd:Q8338 has human-readable name ""trumpet.""
 Transform the SPARQL query to a natural language question. Output just the transformed question. Give me a list of all bandleaders that play trumpet. 
 ----End Example ---- 
Having a SPARQL query: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q51747 wdt:P113 ?uri . } 
 Where:
 wd:Q51747 has human-readable name ""Air China.""
 wdt:P113 has human-readable name ""airline hub.""
 Transform the SPARQL query to a natural language question. Output just the transformed question"	Which airlines list Air China as one of their airline hubs?	Which airports does Air China serve?	en	gpt-3.5-turbo	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q51747 wdt:P113 ?uri . }	['Which', 'airlines', 'list', 'Air', 'China', 'as', 'one', 'of', 'their', 'airline', 'hubs', '?']	['Which', 'airports', 'does', 'Air', 'China', 'serve', '?']	0.197	0.9358	0.3529	32.0
9	"---- Start Example ---- 
 Having a SPARQL query: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> ASK WHERE { wd:Q134041 wdt:P279+ wd:Q40050 . } 
 Where:
 wd:Q134041 has human-readable name ""cola.""
 wdt:P279 has human-readable name ""subclass of.""
 wd:Q40050 has human-readable name ""drink.""
 Transform the SPARQL query to a natural language question. Output just the transformed question. Is Cola a beverage? 
 ----End Example ---- 
Having a SPARQL query: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { ?film wdt:P57 wd:Q16297 ; wdt:P161 wd:Q16297   . ?film wdt:P161 ?uri . } 
 Where:
 wdt:P57 has human-readable name ""director.""
 wd:Q16297 has human-readable name ""William Shatner.""
 wdt:P161 has human-readable name ""cast member.""
 wd:Q16297 has human-readable name ""William Shatner.""
 wdt:P161 has human-readable name ""cast member.""
 Transform the SPARQL query to a natural language question. Output just the transformed question"	Who are the cast members of movies directed by William Shatner?	Give me all actors starring in movies directed by and starring William Shatner.	en	gpt-3.5-turbo	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { ?film wdt:P57 wd:Q16297 ; wdt:P161 wd:Q16297   . ?film wdt:P161 ?uri . }	['Who', 'are', 'the', 'cast', 'members', 'of', 'movies', 'directed', 'by', 'William', 'Shatner', '?']	['Give', 'me', 'all', 'actors', 'starring', 'in', 'movies', 'directed', 'by', 'and', 'starring', 'William', 'Shatner', '.']	0.1847	1.4352	0.3478	38.0
10	"---- Start Example ---- 
 Having a SPARQL query: PREFIX wdt: <http://www.wikidata.org/prop/direct/>  PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?val WHERE { wd:Q5401 wdt:P1082 ?val . } 
 Where:
 wd:Q5401 has human-readable name ""Eurasia.""
 wdt:P1082 has human-readable name ""population.""
 Transform the SPARQL query to a natural language question. Output just the transformed question. How many people live in Eurasia? 
 ----End Example ---- 
Having a SPARQL query: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q928 wdt:P37 ?uri . } 
 Where:
 wd:Q928 has human-readable name ""Philippines.""
 wdt:P37 has human-readable name ""official language.""
 Transform the SPARQL query to a natural language question. Output just the transformed question"	What is the official language of the Philippines?	What are the official languages of the Philippines?	en	gpt-3.5-turbo	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q928 wdt:P37 ?uri . }	['What', 'is', 'the', 'official', 'language', 'of', 'the', 'Philippines', '?']	['What', 'are', 'the', 'official', 'languages', 'of', 'the', 'Philippines', '?']	0.3689	2.4933	0.7143	4.0
11	"---- Start Example ---- 
 Having a SPARQL query: SELECT DISTINCT ?uri WHERE { <http://www.wikidata.org/entity/Q214622> <http://www.wikidata.org/prop/direct/P20> ?uri } 
 Where:
 http://www.wikidata.org/entity/Q214622 has human-readable name ""Nikos Kazantzakis.""
 http://www.wikidata.org/prop/direct/P20 has human-readable name ""place of death.""
 Transform the SPARQL query to a natural language question. Output just the transformed question. In which city did Nikos Kazantzakis die? 
 ----End Example ---- 
Having a SPARQL query: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { ?type wdt:P279* wd:Q11424 . ?uri wdt:P31 ?type ; wdt:P495 wd:Q35 . } 
 Where:
 wdt:P279 has human-readable name ""subclass of.""
 wd:Q11424 has human-readable name ""film.""
 wdt:P31 has human-readable name ""instance of.""
 wdt:P495 has human-readable name ""country of origin.""
 wd:Q35 has human-readable name ""Denmark.""
 Transform the SPARQL query to a natural language question. Output just the transformed question"	"What are the films that are classified as subclasses of ""film"" and have a country of origin in Denmark?"	Give me all Danish films.	en	gpt-3.5-turbo	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { ?type wdt:P279* wd:Q11424 . ?uri wdt:P31 ?type ; wdt:P495 wd:Q35 . }	"['What', 'are', 'the', 'films', 'that', 'are', 'classified', 'as', 'subclasses', 'of', '``', 'film', ""''"", 'and', 'have', 'a', 'country', 'of', 'origin', 'in', 'Denmark', '?']"	['Give', 'me', 'all', 'Danish', 'films', '.']	0.1796	0.1175	0.0909	88.0
